Name,Formula,Ionization_mode,min_rt,max_rt,File
Procyanidin A2,C30H24O12,Negative,163,180,40eV_577_proyanidinA2_neg_56.mzML
Rutin,C27H30O16,Negative,162,171,40eV_609_rutin_neg_66.mzML
3-Hydroxybenzaldehyde,C7H6O2,Negative,152,166,40eV_121_3OHbenzaldehyde_neg_4.mzML
4-Hydroxybenzaldehyde,C7H6O2,Negative,137,170,40eV_121_4OHbenzaldehyde_neg_5.mzML
Salycilic acid,C7H6O3,Negative,180,200,
Malic acid,C4H6O5,Negative,16,42,
(E)-Cinamic acid,C9H8O2,Negative,214,228,40eV_147_transcinnamicacid_neg_9.mzML
2-3-Dihydroxybenzoic acid,C7H6O4,Negative,135,146,40eV_153_2-3-dihydroxybenzoicacid_neg_10.mzML
2-5-Dihydroxybenzoic acid,C7H6O4,Negative,120,140,40eV_153_2-5-dihydroxybenzoicacid_neg_10.mzML
2-6-Dihydroxybenzoic acid,C7H6O4,Negative,120,150,40eV_153_2-6--dihydroxybenzoicacid_neg_10.mzML
3-4-Dihydroxybenzoic acid,C7H6O4,Negative,95,115,40eV_153_3-4-dihydroxybenzoicacid_neg_10.mzML
"2,4,6-Trihydroxybenzaldehyde",C7H6O4,Negative,150,165,40eV_153_2-4-6-trihydroxybenzaldehyde_neg_16.mzML
Vanillyl alcohol,C8H11O3,Negative,110,130,40eV_153_vanillylalcohol_neg_17.mzML
(E)-p-Coumaric acid,C9H8O3,Negative,170,185,
p-Coumaric acid,C9H8O3,Negative,156,170,40eV_163_courmaric_acid_neg_19.mzML
Vanillyl acid,C8H8O4,Negative,136,145,40eV_167_vanillicacid_neg_21.mzML
Gallic acid,C7H6O5,Negative,60,80,40eV_169_gallicacid_neg_22.mzML
Caffeic acid,C9H8O4,Negative,136,146,40eV_179_caffeicacid_neg_25.mzML
Ascorbic acid,C6H8O6,Negative,14,26,40eV_175_ascorbicacid_neg_24.mzML
Glucose,C6H12O6,Negative,15,27,40eV_181_glucose_neg_26.mzML
D-Sorbitol,C6H14O6,Negative,15,27,40eV_183_sorbitol_neg_28.mzML
Quinic acid,C7H12O6,Negative,16,27,40eV_191_quinicacid_neg_29.mzML
(E)-Ferrulic acid,C10H10O4,Negative,167,177,40eV_193_transferulicacid_neg_30.mzML
Sinapic acid,C11H12O5,Negative,169,180,40eV_233_sinapicacid_neg_31.mzML
Naringenin,C1512O5,Negative,175,191,40eV_271_naringenin_neg_32.mzML
Phloretin,C15H14O5,Negative,226,246,40eV_273_phloretin_neg_33.mzML
Kaempferol ,C15H10O6,Negative,235,250,40eV_285_kaempferol_neg_34.mzML
Fisetin,C15H10O6,Negative,192,202,40eV_285_fisetin_neg_34.mzML
(-)-Epicatechin,C15H14O6,Negative,135,150,40eV_289_epicatechin_neg_36.mzML
Catechin,C15H14O6,Negative,125,140,40eV_289_catechin_neg_35.mzML
Kaempferide,C16H12O6,Negative,286,300,40eV_299_4Omethylkaempferol_neg_37.mzML
Ellagic acid,C14H6O8,Negative,165,180,40eV_300_ellagicacid_neg_38.mzML
Herbacetin,C15H10O7,Negative,203,220,40eV_301_8OHkaempferol_neg_39.mzML
Isorhamnetin,C16H12O7,Negative,237,255,40eV_315_isorhamnetin_neg_41.mzML
Sucrose,C12H22O11,Negative,15,35,40eV_343_sucrose_neg_42.mzML
Chlorogenic acid,C16H18O9,Negative,125,145,40eV_355_chlorogenicacid_neg_43.mzML
Trilobatin,C21H24O10,Negative,195,207,40eV_435_trilobatin_neg_45.mzML
Phloridzin,C21H24O10,Negative,185,197,40eV_435_phloridzin_neg_44.mzML
Astragalin,C21H20O11,Negative,173,190,40eV_447_kaempferol3glucoside_neg_48.mzML
Quercitrin,C21H20O11,Negative,175,190,40eV_447_quercetin3rhamnoside_neg_47.mzML
Quercetin,C15H10O7,Negative,209,230,40eV_301_quercetin_neg_40.mzML
Cyanidin 3 Glucoside,C21H20O12,Negative,125,145,
Ursolic acid,C30H48O3,Negative,428,440,40eV_455_ursolicacid_neg_49.mzML
Quercetin-3-glucoside,C21H21O11,Negative,167,180,40eV_463_quercetin3Bglucoside_neg_50.mzML
Isoquercitrin,C21H20O12,Negative,167,180,40eV_463_quercetin3glucofuranoside_neg_53.mzML
Quercetin-3-galactoside,C21H20O12,Negative,167,180,40eV_463_quercetin3galactoside_neg_51.mzML
Corsolic acid,C30H48O4,Negative,367,375,40eV_471_2alphaOHursolicacid_neg_54.mzML
Quercetin-3-O-glucoronide,C21H18O13,Negative,165,180,40eV_477_quercetinglucoronide_neg_54.mzML
Melezitose,C18H32O16,Negative,15,33,40eV_505_melezitose_neg_55.mzML
Procyanidin B1,C30H26O12,Negative,105,130,40eV_579_proyanidinB1_neg_57.mzML
Procyanidin B2,C30H26O12,Negative,133,145,40eV_579_proyanidinB2_neg_58.mzML
Procyanidin B3,C30H26O12,Negative,114,135,40eV_579_proyanidinB3_neg_59.mzML
Procyanidin,C30H26O13,Negative,150,170,40eV_595_proyanidin_neg_61.mzML
Naringin,C27H23O14,Negative,175,190,40eV_579_naringin_neg_60.mzML
Nictoflorin,C27H30O15,Negative,170,185,40eV_kaempferol3rutinoside_neg_62.mzML
Keracyanin,C27H31O15,Negative,145,160,
Eriocitrin,C27H32O15,Negative,157,175,40eV_595_eriodictyol7rutinoside_neg_64.mzML
Neoeriocitrin,C27H32O15,Negative,162,175,40eV_595_eriodictyil7neohesperidoside_neg_65.mzML
Narcissin,C28H32O16,Negative,174,186,40eV_623_isorhamnetin3rutinoside_neg_67.mzML
Quercetin 3-O-sophoroside,C27H30O17,Negative,149,160,40eV_625_quercetin3sophoroside_neg_68.mzML
Procyanidin C1,C45H38O18,Negative,140,152,40eV_867_proyanidinC1_neg_69.mzML
